name,description,binding,readonly,enabled,hidden,options
e#ace#iSearch#cancelSearch,Cancel Search,"[u'esc', u'ctrl+g']",True,True,False,{u'ace': True}
e#ace#iSearch#occurisearch,Occur Incremental Search,"[[u'ctrl+o'], [u'ctrl+o']]",True,True,True,{u'ace': True}
e#ace#iSearch#yankNextWord,Yank Next Word,"[[u'ctrl+w'], [u'ctrl+w']]",True,True,False,{u'ace': True}
e#ace#iSearch#yankNextChar,Yank Next Character,"[[u'ctrl+alt+y'], [u'ctrl+alt+y']]",True,True,False,{u'ace': True}
e#ace#iSearch#recenterTopBottom,Recenter Top Bottom,"[[u'ctrl+l'], [u'ctrl+l']]",True,True,True,{u'ace': True}
e#ace#iSearch#selectAllMatches,Select All Matches,"[[u'ctrl+space'], [u'ctrl+space']]",True,True,False,{u'ace': True}
e#ace#iSearch#searchAsRegExp,Search as Regular Expression,"[[u'alt+r'], [u'alt+r']]",True,True,False,{u'ace': True}
e#ace#iSearchStart#iSearch,Incremental Search,"[[u'command+f'], [u'ctrl+f']]",True,True,True,{u'ace': True}
e#ace#iSearchStart#iSearchAndGo,Incremental Search and Go,"[[u'command+g'], [u'ctrl+k']]",True,True,True,{u'ace': True}
e#ace#iSearchStart#iSearchBackwardsAndGo,Incremental Search Backwards and Go,"[[u'command+shift+g'], [u'ctrl+shift+k']]",True,True,True,{u'ace': True}
